Omega,Grid,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,-107.2036901839,33.94,25.95,10.56,11.95,0.16,8
0.3,222,-107.4421955497,34.04,26.53,10.64,11.97,0.16,8
0.3,333,-107.4538453634,34.36,28.06,10.75,12.16,0.17,8
0.3,444,-107.4545321038,37.93,43.12,11.14,12.25,0.16,10
0.3,555,-107.4545838850,36.93,61.79,11.12,12.20,0.16,9
0.3,666,-107.4545906045,45.82,192.53,11.38,12.44,0.17,14
0.3,777,-107.4545916662,43.89,280.73,11.48,12.74,0.16,11
0.3,888,-107.4545882179,42.09,410.64,11.63,13.18,0.18,9
0.3,999,-107.4545864125,52.52,1147.61,11.87,13.10,0.18,14
0.6,111,-107.2036885879,70.30,26.12,0.40,7.28,0.11,8
0.6,222,-107.4421963962,70.43,26.39,0.42,7.29,0.12,8
0.6,333,-107.4538451789,70.49,28.10,0.44,7.38,0.12,8
0.6,444,-107.4545320829,86.62,43.17,0.46,7.71,0.14,10
0.6,555,-107.4545838121,79.17,61.21,0.45,7.65,0.12,9
0.6,666,-107.4545905616,121.46,191.06,0.47,8.13,0.11,14
0.6,777,-107.4545915935,97.36,281.17,0.51,8.13,0.13,11
0.6,888,-107.4545881605,83.32,409.04,0.48,8.46,0.12,9
0.6,999,-107.4545863518,126.99,1144.19,0.57,8.94,0.12,14
0.9,111,-107.2036888867,147.77,26.05,0.17,5.86,0.11,8
0.9,222,-107.4421963064,147.98,26.44,0.19,5.91,0.10,8
0.9,333,-107.4538451611,148.23,28.05,0.21,6.23,0.14,8
0.9,444,-107.4545319764,184.09,43.12,0.21,6.53,0.15,10
0.9,555,-107.4545836871,166.59,61.53,0.21,6.55,0.11,9
0.9,666,-107.4545904300,256.44,190.42,0.21,6.62,0.11,14
0.9,777,-107.4545914638,204.23,284.18,0.21,6.81,0.11,11
0.9,888,-107.4545880411,172.72,408.41,0.28,7.65,0.12,9
0.9,999,-107.4545862264,261.40,1143.74,0.23,7.09,0.10,14
