Omega,Grid,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,-107.0885103006,4.73,9.59,1.01,1.21,0.16,9
0.3,222,-107.3195818596,4.60,8.58,1.08,1.28,0.16,8
0.3,333,-107.3306318228,4.32,7.65,1.06,1.24,0.17,7
0.3,444,-107.3314999314,4.88,10.51,1.09,1.25,0.17,9
0.3,555,-107.3316593602,4.79,11.61,1.16,1.27,0.17,8
0.3,666,-107.3317169307,5.66,26.58,1.14,1.26,0.16,11
0.3,777,-107.3317441054,5.78,46.73,1.32,1.30,0.15,10
0.3,888,-107.3317580659,7.63,116.90,1.25,1.31,0.16,15
0.3,999,-107.3317655138,6.92,168.77,1.22,1.34,0.16,12
0.6,111,-107.0885102865,14.77,9.62,0.13,1.02,0.10,9
0.6,222,-107.3195818566,13.33,8.58,0.13,1.03,0.11,8
0.6,333,-107.3306318214,11.86,7.63,0.13,1.01,0.11,7
0.6,444,-107.3314999292,14.92,10.52,0.14,1.05,0.11,9
0.6,555,-107.3316593575,13.52,11.59,0.16,1.10,0.12,8
0.6,666,-107.3317169277,18.26,26.55,0.15,1.10,0.11,11
0.6,777,-107.3317441025,16.79,46.90,0.15,1.11,0.10,10
0.6,888,-107.3317580630,25.13,116.24,0.17,1.24,0.11,15
0.6,999,-107.3317655108,20.78,167.11,0.15,1.23,0.11,12
0.9,111,-107.0884827781,34.34,9.64,0.04,0.64,0.10,9
0.9,222,-107.3195799289,30.69,8.62,0.05,0.69,0.12,8
0.9,333,-107.3306303051,27.04,7.64,0.05,0.66,0.10,7
0.9,444,-107.3314984538,34.57,10.53,0.05,0.70,0.10,9
0.9,555,-107.3316578822,30.94,11.60,0.05,0.70,0.10,8
0.9,666,-107.3317154509,42.21,26.50,0.05,0.73,0.10,11
0.9,777,-107.3317426245,38.91,46.64,0.05,0.74,0.10,10
0.9,888,-107.3317565843,58.02,116.64,0.06,0.83,0.12,15
0.9,999,-107.3317640317,47.30,167.28,0.06,0.82,0.10,12
