Omega,Grid,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,-107.1983255340,3.81,9.04,1.44,1.01,0.16,9
0.3,222,-107.4367876212,3.79,8.17,1.48,1.06,0.16,8
0.3,333,-107.4483948580,3.80,8.71,1.49,1.02,0.17,8
0.3,444,-107.4490502316,4.20,13.40,1.52,1.02,0.16,10
0.3,555,-107.4490922682,4.25,19.42,1.51,0.98,0.16,9
0.3,666,-107.4490999144,5.25,58.35,1.62,1.06,0.16,13
0.3,777,-107.4490966901,5.50,84.46,1.67,1.10,0.16,11
0.3,888,-107.4490979186,5.37,122.02,1.72,1.14,0.15,9
0.3,999,-107.4490966488,7.26,314.79,1.76,1.19,0.16,14
0.6,111,-107.1983255319,8.56,9.04,0.16,0.91,0.10,9
0.6,222,-107.4367876077,7.77,8.17,0.17,0.92,0.11,8
0.6,333,-107.4483948563,7.82,8.69,0.20,0.93,0.11,8
0.6,444,-107.4490502295,9.62,13.40,0.26,0.96,0.11,10
0.6,555,-107.4490922659,8.91,19.51,0.20,0.99,0.12,9
0.6,666,-107.4490999127,12.63,58.47,0.21,1.05,0.12,13
0.6,777,-107.4490966886,11.27,85.06,0.20,1.13,0.12,11
0.6,888,-107.4490979174,9.91,122.49,0.21,1.20,0.12,9
0.6,999,-107.4490966476,15.33,316.72,0.21,1.27,0.11,14
0.9,111,-107.1983183269,19.90,9.07,0.07,0.79,0.10,9
0.9,222,-107.4367879785,17.87,8.20,0.08,0.83,0.10,8
0.9,333,-107.4483952131,17.88,8.77,0.08,0.80,0.10,8
0.9,444,-107.4490505721,22.24,13.38,0.09,0.84,0.10,10
0.9,555,-107.4490925976,20.23,19.35,0.09,0.91,0.10,9
0.9,666,-107.4491002386,29.06,58.15,0.10,0.95,0.10,13
0.9,777,-107.4490970122,25.39,84.06,0.09,1.00,0.11,11
0.9,888,-107.4490982400,21.18,122.54,0.09,1.07,0.13,9
0.9,999,-107.4490969691,33.33,312.25,0.09,1.10,0.10,14
