Omega,Grid,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,-578.1236307358,1.74,2.88,1.40,0,0.12,7
0.3,222,-578.6745404007,1.83,4.20,1.39,0,0.13,10
0.3,333,-578.7460622860,1.85,3.33,1.46,0,0.13,7
0.3,444,-578.7619056712,2.06,6.73,1.53,0,0.13,10
0.3,555,-578.7664151821,2.20,8.60,1.63,0,0.14,7
0.3,666,-578.7678801946,2.55,23.06,1.74,0,0.16,9
0.3,777,-578.7684015131,2.52,34.07,1.73,0,0.18,7
0.3,888,-578.7685994650,2.84,82.56,1.72,0,0.13,10
0.3,999,-578.7686783635,2.63,87.00,1.65,0,0.14,7
0.3,101010,-578.7687110884,2.70,107.58,1.67,0,0.14,7
0.3,111111,-578.7687250998,3.42,121.02,1.76,0,0.14,7
0.3,121212,-578.7687312624,3.03,129.99,1.68,0,0.14,7
0.6,111,-578.1236315670,1.73,2.89,0.28,0.34,0.09,7
0.6,222,-578.6745403428,2.11,4.21,0.26,0.32,0.10,10
0.6,333,-578.7460622693,1.83,3.33,0.29,0.39,0.10,7
0.6,444,-578.7619056525,2.34,6.73,0.29,0.42,0.09,10
0.6,555,-578.7664151675,1.98,8.62,0.28,0.44,0.09,7
0.6,666,-578.7678801811,2.51,23.15,0.28,0.48,0.09,9
0.6,777,-578.7684015000,2.31,34.09,0.30,0.52,0.10,7
0.6,888,-578.7685994521,3.15,82.64,0.30,0.50,0.09,10
0.6,999,-578.7686783507,2.97,85.59,0.30,0.49,0.10,7
0.6,101010,-578.7687110756,3.35,107.58,0.32,0.53,0.09,7
0.6,111111,-578.7687250870,3.20,121.72,0.31,0.48,0.09,7
0.6,121212,-578.7687312496,3.79,131.67,0.37,0.55,0.09,7
0.9,111,-578.1236183129,3.47,2.88,0.05,0.18,0.09,7
0.9,222,-578.6745374506,4.80,4.21,0.05,0.20,0.09,10
0.9,333,-578.7460602709,3.59,3.34,0.06,0.24,0.10,7
0.9,444,-578.7619038631,5.00,6.73,0.05,0.26,0.09,10
0.9,555,-578.7664134537,3.93,8.62,0.06,0.30,0.09,7
0.9,666,-578.7678784984,4.86,22.80,0.06,0.31,0.09,9
0.9,777,-578.7683998311,4.25,34.32,0.06,0.31,0.09,7
0.9,888,-578.7685977895,5.16,74.28,0.06,0.31,0.09,9
0.9,999,-578.7686766912,4.62,85.05,0.08,0.35,0.10,7
0.9,101010,-578.7687094175,4.69,108.17,0.07,0.37,0.09,7
0.9,111111,-578.7687234297,4.89,119.72,0.08,0.33,0.09,7
0.9,121212,-578.7687295927,5.64,131.54,0.10,0.42,0.10,7
