Omega,Grid,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,-578.1664683580,11.88,8.99,9.81,0,0.20,8
0.3,222,-578.7011568588,12.67,11.74,9.99,0,0.16,10
0.3,333,-578.7722337646,12.76,12.71,10.37,0,0.19,8
0.3,444,-578.7879463661,14.62,30.75,10.86,0,0.16,10
0.3,555,-578.7924476159,14.86,58.71,11.44,0,0.19,8
0.3,666,-578.7939134656,16.87,172.79,11.65,0,0.17,10
0.3,777,-578.7944398996,17.23,283.70,12.00,0,0.25,8
0.3,888,-578.7946379783,20.67,764.19,12.20,0,0.22,11
0.3,999,-578.7947172061,18.06,751.08,12.01,0,0.16,7
0.3,101010,-578.7947506270,22.11,1294.11,12.00,0,0.19,9
0.3,111111,-578.7947642746,20.72,1456.62,11.68,0,0.21,8
0.3,121212,-578.7947705797,23.15,1766.63,11.58,0,0.25,8
0.6,111,-578.1664648794,9.81,8.94,1.20,2.08,0.11,8
0.6,222,-578.7011569193,11.81,11.70,1.31,2.20,0.12,10
0.6,333,-578.7722334788,11.01,12.46,1.59,2.36,0.12,8
0.6,444,-578.7879462009,13.40,30.66,1.51,2.75,0.12,10
0.6,555,-578.7924474100,13.03,58.62,1.58,2.87,0.12,8
0.6,666,-578.7939132967,15.77,171.55,1.44,2.98,0.13,10
0.6,777,-578.7944397538,14.42,283.23,1.72,3.13,0.13,8
0.6,888,-578.7946378482,19.54,761.46,1.47,3.00,0.12,11
0.6,999,-578.7947170834,14.12,746.64,1.47,3.08,0.11,7
0.6,101010,-578.7947505054,19.10,1297.39,1.50,3.56,0.13,9
0.6,111111,-578.7947641515,18.27,1466.36,1.53,3.25,0.11,8
0.6,121212,-578.7947704551,21.27,1773.04,1.51,3.20,0.11,8
0.9,111,-578.1664698801,17.98,8.99,0.31,1.56,0.10,8
0.9,222,-578.7011573949,22.36,11.72,0.38,1.70,0.11,10
0.9,333,-578.7722337292,18.65,12.43,0.40,1.88,0.12,8
0.9,444,-578.7879463865,23.30,30.65,0.40,2.03,0.12,10
0.9,555,-578.7924475740,20.10,58.73,0.39,2.44,0.13,8
0.9,666,-578.7939134495,26.36,171.76,0.46,2.77,0.12,10
0.9,777,-578.7944399044,21.61,283.57,0.38,2.33,0.11,8
0.9,888,-578.7946379963,30.22,761.99,0.40,2.40,0.11,11
0.9,999,-578.7947172302,20.46,747.80,0.44,2.35,0.12,7
0.9,101010,-578.7947506524,28.77,1295.64,0.54,3.07,0.12,9
0.9,111111,-578.7947642984,25.51,1455.79,0.43,2.39,0.12,8
0.9,121212,-578.7947706016,26.91,1738.59,0.43,2.42,0.14,8
