Omega,Grid,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,-578.1571355194,4.12,4.68,3.33,0,0.14,8
0.3,222,-578.6952000458,4.40,6.70,3.26,0,0.14,11
0.3,333,-578.7663407928,4.56,6.04,3.61,0,0.16,8
0.3,444,-578.7820448473,5.00,12.77,3.77,0,0.14,10
0.3,555,-578.7865296514,5.55,21.72,4.11,0,0.14,8
0.3,666,-578.7879914141,6.09,57.05,4.17,0,0.15,9
0.3,777,-578.7885118155,6.57,104.28,4.33,0,0.17,8
0.3,888,-578.7887094324,7.06,216.13,3.96,0,0.15,10
0.3,999,-578.7887883057,6.18,246.00,3.79,0,0.14,8
0.3,101010,-578.7888210322,6.96,276.15,4.24,0,0.12,7
0.3,111111,-578.7888350525,8.14,357.63,3.96,0,0.14,8
0.3,121212,-578.7888412151,8.20,408.67,3.94,0,0.17,8
0.6,111,-578.1571355325,3.67,4.70,0.47,0.69,0.09,8
0.6,222,-578.6952000069,4.77,6.67,0.54,0.74,0.10,11
0.6,333,-578.7663408684,4.02,6.04,0.56,0.82,0.09,8
0.6,444,-578.7820449047,4.94,12.85,0.58,0.89,0.09,10
0.6,555,-578.7865297130,4.71,21.84,0.59,1.01,0.10,8
0.6,666,-578.7879914759,5.38,57.39,0.59,1.02,0.10,9
0.6,777,-578.7885118778,5.73,103.05,0.59,1.01,0.10,8
0.6,888,-578.7887094948,6.53,216.63,0.60,1.04,0.10,10
0.6,999,-578.7887883682,6.85,250.45,0.60,1.02,0.09,8
0.6,101010,-578.7888210948,6.34,273.20,0.60,1.05,0.10,7
0.6,111111,-578.7888351151,8.03,358.39,0.66,1.11,0.11,8
0.6,121212,-578.7888412777,8.55,410.80,0.64,1.08,0.10,8
0.9,111,-578.1571459753,7.27,4.70,0.09,0.39,0.08,8
0.9,222,-578.6952024667,9.94,6.66,0.12,0.47,0.09,11
0.9,333,-578.7663424435,7.53,6.02,0.12,0.50,0.09,8
0.9,444,-578.7820462313,9.56,12.81,0.12,0.63,0.10,10
0.9,555,-578.7865309541,8.01,21.85,0.12,0.64,0.09,8
0.9,666,-578.7879926754,10.30,57.29,0.12,0.69,0.10,9
0.9,777,-578.7885130596,8.63,102.44,0.12,0.67,0.09,8
0.9,888,-578.7887106685,11.00,215.73,0.13,0.71,0.10,10
0.9,999,-578.7887895380,9.51,247.68,0.14,0.78,0.10,8
0.9,101010,-578.7888222628,9.15,275.37,0.18,0.78,0.11,7
0.9,111111,-578.7888362822,12.28,356.54,0.19,0.96,0.09,8
0.9,121212,-578.7888424443,11.41,408.72,0.16,0.74,0.09,8
