Omega,Grid,StaticMem(GB)
0.3,111,0.001000
0.3,222,0.010000
0.3,333,0.029000
0.3,444,0.054000
0.3,555,0.076000
0.3,666,0.088000
0.3,777,0.090000
0.3,888,0.090000
0.3,999,0.090000
0.3,101010,0.090000
0.3,111111,0.090000
0.3,121212,0.090000
0.6,111,0.001000
0.6,222,0.009000
0.6,333,0.027000
0.6,444,0.049000
0.6,555,0.066000
0.6,666,0.073000
0.6,777,0.073000
0.6,888,0.073000
0.6,999,0.073000
0.6,101010,0.073000
0.6,111111,0.073000
0.6,121212,0.073000
0.9,111,0.001000
0.9,222,0.008000
0.9,333,0.019000
0.9,444,0.030000
0.9,555,0.037000
0.9,666,0.038000
0.9,777,0.038000
0.9,888,0.038000
0.9,999,0.038000
0.9,101010,0.038000
0.9,111111,0.038000
0.9,121212,0.038000
