Omega,Grid,StaticMem(GB)
0.3,111,0.016000
0.3,222,0.125000
0.3,333,0.355000
0.3,444,0.603000
0.3,555,0.801000
0.3,666,0.926000
0.3,777,0.971000
0.3,888,0.978000
0.3,999,0.979000
0.3,101010,0.979000
0.3,111111,0.979000
0.3,121212,0.979000
0.6,111,0.015000
0.6,222,0.118000
0.6,333,0.332000
0.6,444,0.549000
0.6,555,0.700000
0.6,666,0.783000
0.6,777,0.805000
0.6,888,0.805000
0.6,999,0.805000
0.6,101010,0.805000
0.6,111111,0.805000
0.6,121212,0.805000
0.9,111,0.012000
0.9,222,0.093000
0.9,333,0.248000
0.9,444,0.378000
0.9,555,0.466000
0.9,666,0.515000
0.9,777,0.527000
0.9,888,0.527000
0.9,999,0.527000
0.9,101010,0.527000
0.9,111111,0.527000
0.9,121212,0.527000
