omega,2e2c,2e3c(CC),2e3c(CD),niter,rij_bigmem
0.10,3.72,597.27,0,8,607.30
0.15,1.55,268.15,0,8,277.07
0.20,0.96,161.23,0,8,170.16
0.25,0.80,128.84,0,8,139.02
0.30,0.61,104.37,0,8,115.71
0.35,0.57,93.11,0,8,105.71
0.40,0.58,14.62,30.00,8,68.78
0.45,0.50,13.64,28.70,8,70.85
0.50,0.48,12.80,19.70,8,65.68
0.55,0.59,12.41,19.13,8,70.12
0.60,0.49,7.51,19.99,8,77.04
0.65,0.53,5.54,19.44,8,86.24
0.70,0.52,5.50,19.00,8,94.27
0.75,0.45,2.84,18.60,8,105.62
0.80,0.48,2.72,18.19,8,116.56
0.85,0.46,1.54,14.17,8,127.80
0.90,0.45,1.49,14.56,8,142.84
0.95,0.46,1.08,12.21,8,161.28
1.00,0.47,0.52,10.42,8,179.21
