Omega,Grid,Supercell,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,111,-578.1236306959,1.89,2.48,1.61,0,0.12,5
0.6,111,111,-578.1236315386,1.46,2.48,0.23,0.48,0.08,5
0.9,111,111,-578.1236182836,2.43,2.47,0.04,0.22,0.07,5
0.3,111,222,-4629.3963229682,21.09,10.37,17.61,0,0.87,5
0.6,111,222,-4629.3963224731,18.01,10.37,2.42,6.14,0.68,5
0.9,111,222,-4629.3962993450,28.73,10.39,0.22,3.04,0.66,5
0.3,111,333,-15626.1436812487,113.72,38.84,85.16,0,6.63,5
0.6,111,333,-15626.1436807668,112.73,38.71,15.05,31.43,6.29,5
0.9,111,333,-15626.1436267742,177.68,38.83,1.32,19.15,6.31,5
0.3,111,444,-37040.7619611160,575.80,122.59,365.98,0,63.33,5
0.6,111,444,-37040.7619592745,586.88,122.05,76.46,159.45,61.53,5
0.9,111,444,-37040.7618452556,821.98,121.91,4.38,127.73,60.18,5
