Omega,Grid,Supercell,Energy,RIJ-BIGMEM(s),DFT-XC(s),2e3c-CC(s),2e3c-CD(s),2e2c(s),niter
0.3,111,111,-578.1236307356,1.82,2.47,1.48,0,0.13,6
0.6,111,111,-578.1236315669,1.52,2.47,0.25,0.33,0.09,6
0.9,111,111,-578.1236183128,3.01,2.48,0.05,0.18,0.09,6
0.3,111,222,-4629.3963232048,20.18,10.37,16.40,0,0.74,6
0.6,111,222,-4629.3963227416,19.17,10.36,3.36,4.53,0.48,6
0.9,111,222,-4629.3962996036,34.35,10.38,0.40,2.98,0.47,6
0.3,111,333,-15626.1436817431,108.38,38.67,78.29,0,3.32,6
0.6,111,333,-15626.1436812834,118.69,38.78,18.21,19.80,2.88,6
0.9,111,333,-15626.1436273037,219.26,38.89,1.54,17.66,2.97,6
0.3,111,444,-37040.7619631219,600.09,122.86,408.25,0,16.19,6
0.6,111,444,-37040.7619618200,613.86,123.45,75.37,134.48,16.06,6
0.9,111,444,-37040.7618472723,1007.07,122.32,7.70,134.57,10.89,6
